business_name,website_url,phone_number,rating,review_count,address,search_keyword,scraped_at
Roofing America,None,+1 734-619-6398,4.7,240,"
110 Depot St #2, Ann Arbor, MI 48104, Združene države Amerike",Roofers in America,2026-03-23 15:22:07
Roof America,None,+1 678-797-7059,4.7,240,"
501 Plantation Park Dr, Loganville, GA 30052, Združene države Amerike",Roofers in America,2026-03-23 15:22:07
"American Roofing & Tear-off, Inc.",None,+1 231-444-4608,4.7,240,"
5804 Medio Luna Ave, Bakersfield, CA 93306, Združene države Amerike",Roofers in America,2026-03-23 15:22:07
All American Roofing Company,None,+1 757-834-8115,4.7,240,"
4708 White Owl Crescent, Chesapeake, VA 23321, Združene države Amerike",Roofers in America,2026-03-23 15:22:07
Instalterm Strojne Inštalacije,None,040 190 130,4.8,6,"
Britof 63, 4000 Kranj",AC Repair,2026-03-22 20:47:46
ELPRO D.O.O.,None,031 621 039,4.8,6,"
Pševska cesta 57, 4000 Kranj",AC Repair,2026-03-22 20:47:46
Inštalacije Oblak Grega Oblak s.p.,None,041 774 096,4.8,6,"
Smledniška cesta 43a, 4000 Kranj",AC Repair,2026-03-22 20:47:47
AC HERIC j.d.o.o.,None,+385 99 201 4210,4.8,6,"
Podgorska ul. 50, 10298, Novaki Bistranski, Hrvaška",AC Repair,2026-03-22 20:47:47
"American Tree, LLC",None,+1 850-527-7554,4.9,44,"
1224 Grace Ave, Panama City, FL 32401, Združene države Amerike",Tree Service in America,2026-03-23 16:48:18
America's Tree Services,None,+1 210-689-3759,4.9,44,"
616 Stonewall St, San Antonio, TX 78214, Združene države Amerike",Tree Service in America,2026-03-23 16:48:18
Atlantic Roofing Miami,None,+1 786-401-8964,4.9,140,"
1001-1011 SW 27th Ave, Miami, FL 33135, Združene države Amerike",Roofers in Miami,2026-03-23 15:12:31
South Beach Roofing,None,+1 786-401-8993,4.9,140,"
7444 SW 48th St, Miami, FL 33155, Združene države Amerike",Roofers in Miami,2026-03-23 15:12:31
3SOLAR s.p.,None,041 501 829,5.0,9,"
Jezerska cesta 115, 4000 Kranj",Solar Panel Installation,2026-03-22 20:52:47
"TEHNOSOL, družba za izrabo obnovljivih virov energije, d.o.o.",None,01) 362 30 23,5.0,9,"
Zgornje Pirniče 45d, 1215 Medvode",Solar Panel Installation,2026-03-22 20:52:47
Sunergy,None,031 390 498,5.0,9,"
Brnčičeva ul. 31, 1231 Ljubljana",Solar Panel Installation,2026-03-22 20:52:47
